Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,05-Feb-16,1179.75,1175.5,1186.65,1171.85,1176.85,1174.7,1178.61,1992112,2347916406,72608,1221680,61.33
INFY,EQ,08-Feb-16,1174.7,1163.75,1172.2,1143.8,1145.85,1150.8,1159.26,2110522,2446635960,58432,1435924,68.04
INFY,EQ,09-Feb-16,1150.8,1128.3,1128.3,1093.5,1107.5,1107.65,1107.11,3789786,4195709094,110917,2447506,64.58
INFY,EQ,10-Feb-16,1107.65,1108,1127.5,1105,1106.1,1108.55,1115.31,2933027,3271248829,95356,1678192,57.22
INFY,EQ,11-Feb-16,1108.55,1111,1113,1071.15,1078.8,1078.65,1089.29,2607189,2839987985,93260,1525023,58.49
INFY,EQ,12-Feb-16,1078.65,1094.7,1104.4,1067,1084.75,1084.65,1083.79,3704048,4014409218,112945,2195228,59.27
INFY,EQ,15-Feb-16,1084.65,1096.25,1100.2,1086.6,1089,1091.75,1091.38,2546739,2779457264,107866,1662965,65.3
INFY,EQ,16-Feb-16,1091.75,1087,1092.75,1073.7,1081.2,1079.15,1081.53,2562724,2771671745,92796,1599118,62.4
INFY,EQ,17-Feb-16,1079.15,1081.75,1103,1077,1095,1097.85,1089.23,2082299,2268104577,79410,1221857,58.68
INFY,EQ,18-Feb-16,1097.85,1100,1127,1100,1121.3,1123.4,1115.43,2094536,2336317813,70844,1322322,63.13
INFY,EQ,19-Feb-16,1123.4,1119.2,1134.2,1113.85,1123.45,1127.25,1125.72,1987009,2236825272,85227,1299849,65.42
INFY,EQ,22-Feb-16,1127.25,1131,1133.95,1114.05,1126,1126.65,1126.83,1928505,2173092990,71684,1202192,62.34
INFY,EQ,23-Feb-16,1126.65,1130.25,1132.5,1116.05,1123,1123.9,1124.64,1250980,1406895966,78553,662922,52.99
INFY,EQ,24-Feb-16,1123.9,1119.5,1143.75,1118.35,1125,1125.35,1132.34,2475357,2802937160,92342,1604525,64.82
INFY,EQ,25-Feb-16,1125.35,1125.4,1130.6,1101.1,1115.9,1110.3,1112.14,2242264,2493709761,102958,1444125,64.4
INFY,EQ,26-Feb-16,1110.3,1120.15,1132,1116,1122.1,1121.15,1121.6,2117818,2375337064,114603,1397368,65.98
INFY,EQ,29-Feb-16,1121.15,1129.5,1130.4,1068.3,1085.55,1084.05,1095.62,4083038,4473469436,95756,2466669,60.41
INFY,EQ,01-Mar-16,1084.05,1094.8,1130.3,1094.8,1128.75,1125.45,1118.92,3193077,3572794467,99480,2364104,74.04
INFY,EQ,02-Mar-16,1125.45,1137.05,1163.5,1125,1158.5,1156,1143.15,3607449,4123873292,105889,2027082,56.19
INFY,EQ,03-Mar-16,1156,1168,1192.85,1154,1172,1169.3,1173.96,2907152,3412892364,100651,1689844,58.13
INFY,EQ,04-Mar-16,1169.3,1175.6,1185,1159.1,1175.3,1170.65,1173.98,2140840,2513300445,63895,1227929,57.36
INFY,EQ,08-Mar-16,1170.65,1163,1190.5,1147.4,1160.85,1163.45,1159.98,3808873,4418218641,107108,2482004,65.16
INFY,EQ,09-Mar-16,1163.45,1145,1183.75,1142.95,1177,1178.5,1168.24,3152891,3683322613,89544,1983227,62.9
INFY,EQ,10-Mar-16,1178.5,1162.9,1162.9,1139.35,1142.65,1142.5,1148.72,12190508,14003425951,90787,8349472,68.49
INFY,EQ,11-Mar-16,1142.5,1146.2,1155.95,1138.2,1141,1143,1148.57,2029274,2330755845,60784,1051356,51.81
INFY,EQ,14-Mar-16,1143,1146,1154.25,1138.5,1140.9,1141.2,1143.6,2087131,2386845851,78868,1363995,65.35
INFY,EQ,15-Mar-16,1141.2,1144,1154.5,1128.95,1134.6,1134.4,1139.17,3360129,3827755995,73517,2365218,70.39
INFY,EQ,16-Mar-16,1134.4,1141.9,1155,1131.55,1151.1,1152.45,1145.49,2794425,3200980693,68267,1732991,62.02
INFY,EQ,17-Mar-16,1152.45,1156.9,1169.75,1154.05,1157,1161.75,1161.7,3237311,3760788713,99521,2167945,66.97
INFY,EQ,18-Mar-16,1161.75,1162.8,1199,1162,1190,1193.4,1182.5,4238711,5012256648,95530,2948553,69.56
INFY,EQ,21-Mar-16,1193.4,1188,1199,1180.05,1192.7,1194.9,1189.83,2569196,3056912501,85237,1708992,66.52
INFY,EQ,22-Mar-16,1194.9,1191.25,1194,1172,1193.1,1189.95,1182.78,3548975,4197665191,102921,2439886,68.75
INFY,EQ,23-Mar-16,1189.95,1190,1210.7,1182.1,1208.8,1207.8,1195.9,3166588,3786937856,136505,2319740,73.26
INFY,EQ,28-Mar-16,1207.8,1232.4,1237,1195.75,1209,1204.9,1212.25,5393755,6538591760,112913,3674676,68.13
INFY,EQ,29-Mar-16,1204.9,1199,1218.9,1191.55,1195,1197.25,1205.49,3497678,4216417212,91763,2171350,62.08
INFY,EQ,30-Mar-16,1197.25,1197.6,1210,1195.55,1206.6,1205.95,1205.03,2878409,3468574631,94161,2018979,70.14
INFY,EQ,31-Mar-16,1205.95,1210.25,1229.9,1200.3,1220,1218.3,1215.31,8998160,10935517716,207681,5973609,66.39
INFY,BL,01-Apr-16,2136.1,1220.25,1220.25,1220.15,1220.15,1220.15,1220.18,775000,945635922.1,2,775000,100
INFY,EQ,01-Apr-16,1218.3,1216,1222.2,1195.1,1207.6,1205.45,1208.16,2755714,3329332085,97501,1652337,59.96
INFY,EQ,04-Apr-16,1205.45,1213.55,1248,1213.55,1245.3,1243.7,1234.52,2288527,2825238080,76941,1337441,58.44
INFY,EQ,05-Apr-16,1243.7,1242,1242.3,1214,1218,1219.8,1227.4,2395358,2940055243,72189,1435543,59.93
INFY,EQ,06-Apr-16,1219.8,1228,1228,1196,1201.65,1200.7,1208.74,2465677,2980355277,82745,1349608,54.74
INFY,EQ,07-Apr-16,1200.7,1208.4,1208.4,1175,1181,1181.5,1183.37,2828945,3347681450,110844,1694491,59.9
INFY,EQ,08-Apr-16,1181.5,1175.85,1177.5,1162.05,1167.25,1165.75,1169.04,2097789,2452392809,73531,1183847,56.43
INFY,EQ,11-Apr-16,1165.75,1165.8,1186.75,1151.1,1184.1,1183.9,1170.05,2884339,3374830285,94441,1468873,50.93
INFY,EQ,12-Apr-16,1183.9,1180.5,1194.9,1178.6,1183,1182.2,1185.97,2921069,3464293129,91101,1996122,68.34
INFY,EQ,13-Apr-16,1182.2,1194.95,1194.95,1166.35,1176,1172.7,1176.38,6255693,7359084499,184136,4443119,71.03
INFY,EQ,18-Apr-16,1172.7,1250,1267.9,1233.5,1237.15,1238.7,1247.17,12507995,15599650786,287988,7270261,58.12
INFY,EQ,20-Apr-16,1238.7,1244,1246.45,1225.8,1244,1243.6,1237.18,4036424,4993801015,139599,2555094,63.3
INFY,EQ,21-Apr-16,1243.6,1251,1251,1218.1,1226.8,1226.3,1231.52,2720550,3350409729,97218,1626993,59.8
INFY,EQ,22-Apr-16,1226.3,1226.3,1228.5,1207,1212.75,1211.25,1215.94,2571969,3127365365,96983,1634111,63.54
INFY,EQ,25-Apr-16,1211.25,1212.05,1224.8,1201.1,1219.25,1215.85,1211.42,2682067,3249112708,91828,1673309,62.39
INFY,EQ,26-Apr-16,1215.85,1215.45,1239.55,1208.6,1230.15,1232.15,1227.12,2923372,3587319457,91684,1829934,62.6
INFY,EQ,27-Apr-16,1232.15,1229.2,1242.35,1228.55,1239.15,1240.15,1236.9,2243104,2774491729,110848,1582665,70.56
INFY,EQ,28-Apr-16,1240.15,1231,1239.6,1207,1210,1209.15,1213.55,6082584,7381519426,136015,4311117,70.88
INFY,EQ,29-Apr-16,1209.15,1211.45,1223.55,1205,1206.2,1208.1,1211.59,2518205,3051020532,103524,1689412,67.09
INFY,EQ,02-May-16,1208.1,1210,1211.15,1196.15,1199.55,1201.05,1200.96,1807625,2170885251,50153,1152917,63.78
INFY,EQ,03-May-16,1201.05,1202.75,1212.2,1171.8,1177.95,1177.8,1190.11,3412405,4061149572,132901,2158470,63.25
INFY,EQ,04-May-16,1177.8,1181,1193,1170.65,1190,1188.85,1182.72,2906421,3437484344,106651,1940064,66.75
INFY,EQ,05-May-16,1188.85,1195.15,1199,1181.1,1195.45,1192.45,1189.58,3151334,3748759043,137968,2090748,66.34
INFY,EQ,06-May-16,1192.45,1189.8,1189.8,1177.05,1179,1181.5,1181.92,1298360,1534551847,54186,743792,57.29
INFY,EQ,09-May-16,1181.5,1182,1201.55,1180.6,1199.85,1199.05,1192.94,2561839,3056124205,81316,1718212,67.07
INFY,EQ,10-May-16,1199.05,1202.5,1216.65,1196.6,1211.95,1212.8,1206.66,1697852,2048735526,75786,1019801,60.06
INFY,EQ,11-May-16,1212.8,1198.5,1214.7,1192.5,1204,1201.85,1203.69,1854944,2232783131,64272,1006994,54.29
INFY,EQ,12-May-16,1201.85,1203.9,1213,1196.8,1210.8,1210,1205.68,1703466,2053842245,77725,1118347,65.65
INFY,EQ,13-May-16,1210,1206,1210,1192.15,1208,1207.25,1202.44,2826032,3398141904,81828,2104685,74.47
INFY,EQ,16-May-16,1207.25,1210.2,1223.65,1205,1212.8,1215,1214.69,2266939,2753623614,77520,1493929,65.9
INFY,EQ,17-May-16,1215,1220,1225.75,1208.15,1213.55,1214.25,1219.27,1898147,2314345531,75775,1249282,65.82
INFY,EQ,18-May-16,1214.25,1199,1214,1197.9,1212,1209.85,1204.37,2128298,2563260480,60053,1398184,65.69
INFY,EQ,19-May-16,1209.85,1210.95,1216.15,1201,1201.15,1205.75,1208.41,1977200,2389258586,63251,1357458,68.66
INFY,EQ,20-May-16,1205.75,1205,1219.5,1200,1200.9,1201.6,1209.24,1997274,2415192560,72124,1295982,64.89
INFY,EQ,23-May-16,1201.6,1203.4,1205.15,1185,1188.2,1188,1191.44,2292973,2731935850,65785,1466912,63.97
INFY,EQ,24-May-16,1188,1191.05,1191.75,1177.6,1190,1187.75,1184.79,1742530,2064534720,85326,1025191,58.83
INFY,EQ,25-May-16,1187.75,1194.1,1213.1,1194.1,1209.15,1208.65,1208.82,1928698,2331455440,66033,1310424,67.94
INFY,EQ,26-May-16,1208.65,1210.1,1239.8,1210.1,1237.9,1234.15,1227.35,3068218,3765768592,96613,2359311,76.9
INFY,EQ,27-May-16,1234.15,1231.6,1259.5,1231.6,1245,1247.5,1249.54,3090382,3861555368,79330,2203990,71.32
INFY,EQ,30-May-16,1247.5,1241.5,1272,1241.5,1267,1267.6,1267.25,2642850,3349159368,92600,1938752,73.36
INFY,EQ,31-May-16,1267.6,1265,1266.75,1239,1250.85,1248.65,1248.07,6891019,8600491439,125656,5308966,77.04
INFY,EQ,01-Jun-16,1248.65,1246.05,1268.5,1246,1256,1258.2,1258.82,2420267,3046672700,72781,1589552,65.68
INFY,EQ,02-Jun-16,1258.2,1255,1274.9,1254,1260.5,1261.55,1264.53,2526776,3195178703,105567,1657794,65.61
INFY,EQ,03-Jun-16,1261.55,1260.05,1279.3,1260.05,1267,1266.9,1271.43,1999190,2541822477,70963,1395872,69.82
INFY,EQ,06-Jun-16,1266.9,1264.9,1277,1261.1,1267.25,1266.75,1269.53,2112884,2682362141,77880,1515515,71.73
INFY,EQ,07-Jun-16,1266.75,1267,1272.5,1255.1,1256,1257.4,1263.86,2846210,3597199329,74826,2314800,81.33
INFY,EQ,08-Jun-16,1257.4,1263.95,1263.95,1235.35,1237,1238.1,1242.8,4370685,5431892699,113032,3499200,80.06
INFY,EQ,09-Jun-16,1238.1,1226.25,1226.25,1180.05,1187,1185.5,1191.98,6370402,7593381454,169983,4372019,68.63
INFY,EQ,10-Jun-16,1185.5,1175.4,1190,1170.1,1181,1180.6,1180.3,3191978,3767482481,112385,1832979,57.42
INFY,EQ,13-Jun-16,1180.6,1176.8,1184.9,1166,1180,1180.9,1176.48,2643361,3109855383,92827,1839218,69.58
INFY,EQ,14-Jun-16,1180.9,1182.4,1182.4,1167.25,1176,1175,1173.27,1470364,1725136290,76094,789615,53.7
INFY,EQ,15-Jun-16,1175,1183.7,1192.65,1179.05,1189.55,1189.95,1184.11,3355786,3973610805,97170,2729841,81.35
INFY,EQ,16-Jun-16,1189.95,1189.5,1189.5,1170.1,1186.3,1186,1179.61,2651282,3127477049,96066,1894154,71.44
INFY,EQ,17-Jun-16,1186,1189,1192.75,1175.1,1179.45,1179.5,1179.51,4257541,5021828421,84979,3232375,75.92
INFY,EQ,20-Jun-16,1179.5,1181,1211.8,1179.7,1207,1208.75,1199.39,3114783,3735847754,84105,2081632,66.83
INFY,EQ,21-Jun-16,1208.75,1211.2,1214.8,1195.65,1206.5,1206.1,1204.61,2380862,2868013851,57770,1616360,67.89
INFY,EQ,22-Jun-16,1206.1,1204,1211.95,1188.15,1197.35,1199.5,1199.49,1515629,1817988769,52549,1015538,67
INFY,EQ,23-Jun-16,1199.5,1197.3,1214.85,1193.35,1210.75,1211.6,1203.62,1914313,2304105635,102672,1323086,69.12
INFY,EQ,24-Jun-16,1211.6,1188,1199,1160,1191.2,1194.55,1187.02,3904174,4634322656,80878,2621701,67.15
INFY,EQ,27-Jun-16,1194.55,1172.05,1183.2,1160,1165.05,1166.2,1170.54,2791889,3268027324,95815,1918370,68.71
INFY,EQ,28-Jun-16,1166.2,1162.8,1172.5,1155.1,1158.95,1159.15,1161.08,3827987,4444586239,140277,2706114,70.69
INFY,EQ,29-Jun-16,1159.15,1169,1179.9,1160.2,1177,1176.85,1169.63,2729575,3192594353,91172,1881552,68.93
INFY,EQ,30-Jun-16,1176.85,1180.5,1184.5,1167.95,1171.9,1170.8,1173.73,4673112,5484981719,117143,3365862,72.03
INFY,EQ,01-Jul-16,1170.8,1180,1180,1170.1,1171.05,1172.4,1174.4,1995956,2344042645,83613,1349474,67.61
INFY,EQ,04-Jul-16,1172.4,1176.2,1194.6,1176.2,1185,1183.95,1186.25,2690661,3191792275,97976,1883547,70
INFY,EQ,05-Jul-16,1183.95,1185,1187.5,1171.05,1174,1175.45,1176.77,1798208,2116084018,61330,1243480,69.15
INFY,EQ,07-Jul-16,1175.45,1168.7,1171,1155,1160,1157.25,1159.93,2977438,3453631860,131833,2162386,72.63
INFY,EQ,08-Jul-16,1157.25,1163,1167,1153.5,1161.95,1158.2,1161.28,2775824,3223520903,123336,1961216,70.65
INFY,EQ,11-Jul-16,1158.2,1167.4,1178.7,1160,1173.75,1175.05,1169.68,3334441,3900242644,97975,2357850,70.71
INFY,EQ,12-Jul-16,1175.05,1180,1180.35,1168,1176,1176.55,1174.18,3098684,3638403711,90016,2373310,76.59
INFY,EQ,13-Jul-16,1176.55,1180,1195.8,1175.2,1192.3,1193.8,1186.15,2637710,3128727246,73207,1749653,66.33
INFY,EQ,14-Jul-16,1193.8,1195,1196.05,1164,1177.65,1176.25,1179.62,3706664,4372439897,102739,2124160,57.31
INFY,EQ,15-Jul-16,1176.25,1189.5,1189.9,1052,1070.8,1072.55,1085.37,30742063,33366591098,707440,16865349,54.86
INFY,EQ,18-Jul-16,1072.55,1077.25,1084.9,1055.15,1081,1081.95,1072,7166412,7682361812,240953,3765678,52.55
INFY,EQ,19-Jul-16,1081.95,1088.6,1090,1074.1,1088,1086.95,1082.75,5202322,5632801599,178219,3912904,75.21
INFY,EQ,20-Jul-16,1086.95,1070,1089.9,1070,1083.5,1083.1,1081.83,4911448,5313369529,104095,3748211,76.32
INFY,EQ,21-Jul-16,1083.1,1079,1087.2,1075.6,1080.1,1079.9,1079.65,4334001,4679193731,130542,3410877,78.7
INFY,EQ,22-Jul-16,1079.9,1070,1079.9,1066.7,1074.5,1072.45,1070.52,4693269,5024244656,93296,3540180,75.43
INFY,EQ,25-Jul-16,1072.45,1063,1083.25,1063,1079.4,1080.85,1075.57,4234776,4554802179,97327,3134896,74.03
INFY,EQ,26-Jul-16,1080.85,1070.35,1089.9,1070.35,1086.05,1088.7,1085.65,3594805,3902694860,60846,2779791,77.33
INFY,EQ,27-Jul-16,1088.7,1084.7,1096.5,1078.55,1084,1085.35,1085.13,3715910,4032229606,65130,2545863,68.51
INFY,EQ,28-Jul-16,1085.35,1085.4,1086.95,1074.05,1077,1077.5,1078.63,5629281,6071912465,84046,4011003,71.25
INFY,EQ,29-Jul-16,1077.5,1072.6,1076.75,1066.5,1075,1073.85,1073.14,4078392,4376687908,96309,3242921,79.51
INFY,EQ,01-Aug-16,1073.85,1071.5,1087.85,1068.35,1086,1085.25,1078.19,4548331,4903963865,84226,3334677,73.32
INFY,EQ,02-Aug-16,1085.25,1079.9,1085,1075,1085,1083.8,1079.83,3411251,3683561727,74776,2617201,76.72
INFY,EQ,03-Aug-16,1083.8,1085.65,1086.5,1070.3,1085,1084.9,1078.92,3606730,3891373601,93756,2647344,73.4
INFY,EQ,04-Aug-16,1084.9,1086.4,1086.9,1070.05,1071.45,1071.8,1074.9,2118639,2277331567,64592,1505266,71.05
INFY,EQ,05-Aug-16,1071.8,1072,1073.45,1060,1065.05,1068,1066.86,2804984,2992534286,98969,1697874,60.53
INFY,EQ,08-Aug-16,1068,1069,1081,1062.55,1074.4,1078.7,1074.88,2321532,2495374580,86035,1538673,66.28
INFY,EQ,09-Aug-16,1078.7,1077,1084.5,1071.5,1080.4,1083.4,1079.81,3596332,3883365580,79692,2669754,74.24
INFY,EQ,10-Aug-16,1083.4,1076,1087.9,1075.2,1079.95,1082.35,1080.96,2788227,3013968179,72781,2075895,74.45
INFY,EQ,11-Aug-16,1082.35,1081.7,1095,1075.25,1078.75,1077.35,1081.51,2519276,2724633995,68282,1777921,70.57
INFY,EQ,12-Aug-16,1077.35,1075.05,1078.8,1060,1061.6,1062.55,1069.52,3724964,3983911355,116371,3085743,82.84
INFY,EQ,16-Aug-16,1062.55,1042,1058.05,1028,1052.2,1051.8,1046.71,8214704,8598374852,177774,5903358,71.86
INFY,EQ,17-Aug-16,1051.8,1049.95,1052.65,1030.5,1034.4,1033.3,1037.78,3299658,3424334724,134252,2205748,66.85
INFY,EQ,18-Aug-16,1033.3,1036.5,1039.1,1021.5,1023,1023.4,1028.77,4217000,4338343575,113563,3276027,77.69
INFY,EQ,19-Aug-16,1023.4,1030,1039,1018.45,1022.15,1021.3,1026.81,2843008,2919222195,132229,1815522,63.86
INFY,EQ,22-Aug-16,1021.3,1018,1030,1009.1,1015.9,1015.45,1014.33,5126759,5200200616,184159,3990981,77.85
INFY,EQ,23-Aug-16,1015.45,1020.1,1042,1020.1,1039.95,1039.65,1033.85,3703069,3828422615,135014,2009540,54.27
INFY,EQ,24-Aug-16,1039.65,1047,1062.05,1047,1055.15,1057.4,1056,3064983,3236633964,118286,1918920,62.61
INFY,EQ,25-Aug-16,1057.4,1055,1057.6,1032.1,1036.9,1036.15,1041.32,2398281,2497389786,67028,1496593,62.4
INFY,EQ,26-Aug-16,1036.15,1036,1046,1017.05,1019.7,1020.25,1028.03,3440527,3536957213,144271,2349851,68.3
INFY,EQ,29-Aug-16,1020.25,1017.6,1030,1011,1029.05,1022.8,1018.39,2610141,2658142523,137001,1817146,69.62
INFY,EQ,30-Aug-16,1022.8,1032.45,1045,1025,1040.25,1040.4,1035.23,2187719,2264785516,76218,1290759,59
INFY,EQ,31-Aug-16,1040.4,1037.1,1045.75,1027.8,1033.85,1035.85,1037.31,5569907,5777732671,131672,4051768,72.74
INFY,EQ,01-Sep-16,1035.85,1038,1040.45,1032,1037,1037.55,1036.28,1438913,1491112695,48366,926487,64.39
